<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
240207;171500;15952;15962;15952;15960;969
240207;173000;15960;15964;15954;15960;1142
240207;174500;15958;15962;15950;15960;1437
240207;180000;15960;15960;15944;15948;588
240207;181500;15948;15958;15946;15950;691
240207;183000;15950;15956;15948;15950;355
240207;184500;16000;16000;16000;16000;9248
240207;190000;15998;15998;15976;15984;1829
240207;191500;15986;15990;15982;15984;434
240207;193000;15984;15988;15984;15988;562
240207;194500;15988;15988;15982;15984;733
240207;200000;15980;15986;15980;15982;233
240207;201500;15980;15980;15976;15978;172
240207;203000;15976;15978;15972;15974;374
240207;204500;15974;15974;15966;15968;404
240207;210000;15968;15970;15952;15952;922
240207;211500;15954;15972;15954;15964;607
240207;213000;15964;15968;15956;15968;146
240207;214500;15966;15970;15958;15960;322
240207;220000;15960;15970;15960;15960;358
240207;221500;15968;15986;15954;15964;1210
240207;223000;15966;15966;15956;15966;374
240207;224500;15966;15968;15956;15960;151
240207;230000;15960;15966;15958;15960;88
240207;231500;15958;15974;15958;15964;141
240207;233000;15964;15964;15958;15958;395
240207;234500;15958;15960;15956;15960;78
240208;100000;15970;15974;15948;15952;1886
240208;101500;15952;15952;15944;15944;1916
240208;103000;15944;15958;15914;15936;7027
240208;104500;15936;15938;15730;15820;27478
240208;110000;15820;15824;15800;15824;4158
240208;111500;15824;15836;15806;15820;2992
240208;113000;15822;15866;15820;15854;2191
240208;114500;15854;15870;15838;15846;3069
240208;120000;15844;15866;15838;15848;1264
240208;121500;15848;15856;15824;15846;1352
240208;123000;15846;15848;15842;15846;687
240208;124500;15846;15848;15814;15832;2785
240208;130000;15828;15834;15812;15820;1818
240208;131500;15820;15838;15804;15834;3413
240208;133000;15834;15842;15830;15840;1147
240208;134500;15842;15844;15830;15844;851
240208;140000;15840;15848;15836;15838;761
240208;141500;15836;15848;15830;15848;1166
240208;143000;15848;15848;15816;15838;3069
240208;144500;15838;15840;15830;15838;1530
240208;150000;15838;15838;15832;15832;1004
240208;151500;15834;15838;15830;15834;1658
240208;153000;15834;15846;15830;15844;1486
240208;154500;15844;15846;15834;15846;763
240208;160000;15846;15848;15834;15848;2142
240208;161500;15848;15860;15846;15854;1609
240208;163000;15854;15866;15846;15852;1329
240208;164500;15852;15858;15846;15858;1242
240208;170000;15858;15858;15842;15850;904
240208;171500;15850;15860;15848;15856;758
240208;173000;15854;15858;15846;15856;1088
240208;174500;15856;15858;15852;15858;929
240208;180000;15856;15860;15850;15854;1684
240208;181500;15854;15854;15840;15842;642
240208;183000;15842;15848;15836;15838;780
240208;184500;15824;15824;15824;15824;1200
240208;190000;15832;15836;15784;15788;2025
240208;191500;15788;15798;15762;15790;3037
240208;193000;15790;15794;15776;15776;846
240208;194500;15776;15788;15774;15782;490
240208;200000;15782;15784;15756;15776;2006
240208;201500;15776;15786;15770;15778;628
240208;203000;15778;15788;15778;15780;471
240208;204500;15782;15782;15770;15772;466
240208;210000;15770;15782;15754;15754;1442
240208;211500;15756;15760;15754;15760;901
240208;213000;15758;15760;15750;15756;598
240208;214500;15756;15760;15750;15752;612
240208;220000;15752;15774;15752;15768;913
240208;221500;15768;15770;15754;15754;575
240208;223000;15758;15758;15742;15748;786
240208;224500;15748;15750;15740;15746;778
240208;230000;15746;15748;15736;15736;1008
240208;231500;15736;15738;15730;15734;866
240208;233000;15732;15742;15732;15742;931
240208;234500;15742;15742;15738;15742;267
240209;100000;15744;15786;15646;15716;12082
240209;101500;15714;15722;15682;15688;3609
240209;103000;15692;15694;15666;15666;2065
240209;104500;15666;15688;15656;15688;2759
240209;110000;15688;15696;15674;15694;1509
240209;111500;15694;15696;15682;15694;870
240209;113000;15692;15696;15690;15696;475
240209;114500;15696;15696;15680;15692;932
240209;120000;15690;15696;15660;15672;2037
240209;121500;15668;15744;15668;15742;4338
240209;123000;15740;15740;15704;15708;1876
240209;124500;15708;15746;15704;15738;2624
240209;130000;15738;15740;15708;15734;2054
240209;131500;15736;15738;15712;15712;2333
240209;133000;15716;15734;15700;15700;2139
240209;134500;15702;15718;15696;15706;1434
240209;140000;15706;15784;15702;15778;3977
240209;141500;15778;15790;15756;15788;3713
240209;143000;15784;15810;15778;15796;3782
240209;144500;15794;15806;15778;15800;3085
240209;150000;15800;15808;15770;15772;1643
240209;151500;15772;15796;15766;15776;458
240209;153000;15776;15780;15708;15720;13451
240209;154500;15724;15760;15626;15636;18598
240209;160000;15646;15650;15570;15618;15727
240209;161500;15618;15668;15610;15630;7264
240209;163000;15632;15642;15612;15634;5694
240209;164500;15634;15692;15612;15656;4611
240209;170000;15654;15690;15652;15688;1863
240209;171500;15690;15714;15678;15700;3542
240209;173000;15700;15754;15688;15746;7047
240209;174500;15744;15790;15732;15764;3318
240209;180000;15766;15780;15754;15778;1222
240209;181500;15778;15780;15708;15714;3965
240209;183000;15716;15754;15710;15726;1826
240209;184500;15800;15800;15800;15800;7934
240209;190000;15792;15792;15768;15768;2564
240209;191500;15770;15786;15770;15780;418
240209;193000;15780;15782;15772;15774;499
240209;194500;15774;15776;15766;15772;653
240209;200000;15772;15774;15766;15770;651
240209;201500;15770;15772;15758;15760;1296
240209;203000;15764;15770;15762;15766;131
240209;204500;15762;15770;15762;15768;237
240209;210000;15770;15798;15766;15766;1587
240209;211500;15766;15768;15752;15752;590
240209;213000;15754;15756;15752;15754;104
240209;214500;15752;15756;15734;15736;679
240209;220000;15734;15736;15730;15734;186
240209;221500;15732;15734;15730;15730;222
240209;223000;15732;15732;15724;15726;398
240209;224500;15726;15726;15714;15718;571
240209;230000;15718;15732;15716;15732;688
240209;231500;15732;15736;15720;15722;945
240209;233000;15720;15732;15718;15732;539
240209;234500;15732;15736;15690;15728;1355
240212;100000;15730;15772;15666;15670;8958
240212;101500;15668;15680;15600;15630;9383
240212;103000;15630;15630;15580;15594;6107
240212;104500;15594;15634;15592;15598;4298
240212;110000;15598;15600;15554;15600;6361
240212;111500;15600;15638;15586;15612;3289
240212;113000;15612;15620;15596;15596;1110
240212;114500;15594;15616;15586;15616;1125
240212;120000;15614;15616;15480;15510;13659
240212;121500;15512;15538;15510;15518;3602
240212;123000;15518;15524;15510;15516;2435
240212;124500;15516;15524;15514;15522;2241
240212;130000;15520;15548;15514;15526;1862
240212;131500;15528;15556;15528;15556;2073
240212;133000;15556;15564;15530;15534;2117
240212;134500;15532;15538;15510;15518;2141
240212;140000;15512;15528;15510;15518;1409
240212;141500;15518;15520;15510;15510;2781
240212;143000;15514;15518;15488;15488;5077
240212;144500;15488;15488;15450;15452;5507
240212;150000;15452;15496;15422;15488;8255
240212;151500;15484;15510;15474;15488;2535
240212;153000;15490;15506;15460;15502;2954
240212;154500;15504;15534;15490;15492;2819
240212;160000;15498;15500;15472;15484;1255
240212;161500;15486;15502;15472;15480;1372
240212;163000;15480;15506;15474;15502;1892
240212;164500;15500;15502;15474;15474;1438
240212;170000;15476;15490;15462;15462;2202
240212;171500;15462;15468;15448;15454;2719
240212;173000;15456;15524;15440;15524;4127
240212;174500;15524;15544;15512;15544;3029
240212;180000;15544;15586;15540;15586;4319
240212;181500;15586;15586;15534;15562;3808
240212;183000;15564;15584;15552;15556;1747
240212;184500;15600;15600;15600;15600;5956
240212;190000;15578;15594;15576;15580;1966
240212;191500;15580;15582;15572;15576;1179
240212;193000;15574;15578;15574;15576;444
240212;194500;15576;15578;15570;15572;723
240212;200000;15572;15576;15570;15570;413
240212;201500;15572;15574;15556;15556;485
240212;203000;15556;15564;15552;15564;457
240212;204500;15558;15564;15554;15554;421
240212;210000;15554;15560;15550;15552;270
240212;211500;15552;15558;15538;15548;1057
240212;213000;15546;15546;15530;15538;722
240212;214500;15538;15538;15524;15530;543
240212;220000;15530;15534;15524;15534;619
240212;221500;15532;15554;15532;15552;292
240212;223000;15548;15548;15534;15542;235
240212;224500;15542;15544;15530;15542;187
240212;230000;15542;15550;15530;15544;196
240212;231500;15544;15546;15536;15546;125
240212;233000;15546;15550;15536;15542;394
240212;234500;15540;15546;15540;15546;124
240213;100000;15550;15596;15550;15560;3389
240213;101500;15562;15596;15562;15580;1803
240213;103000;15578;15578;15540;15546;2932
240213;104500;15544;15566;15542;15566;1333
240213;110000;15564;15566;15540;15540;1344
