<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
USD000UTSTOM;15;240112;164500;88.3375;21341000
USD000UTSTOM;15;240112;170000;88.21;11893000
USD000UTSTOM;15;240112;171500;88.1975;12545000
USD000UTSTOM;15;240112;173000;88.19;8599000
USD000UTSTOM;15;240112;174500;88.365;18716000
USD000UTSTOM;15;240112;180000;88.405;10225000
USD000UTSTOM;15;240112;181500;88.32;4328000
USD000UTSTOM;15;240112;183000;88.29;4866000
USD000UTSTOM;15;240112;184500;88.41;11272000
USD000UTSTOM;15;240115;070000;88.25;6927000
USD000UTSTOM;15;240115;071500;88.23;1038000
USD000UTSTOM;15;240115;073000;88.24;2611000
USD000UTSTOM;15;240115;074500;88.255;2169000
USD000UTSTOM;15;240115;080000;88.2775;10156000
USD000UTSTOM;15;240115;081500;88.18;10837000
USD000UTSTOM;15;240115;083000;88.205;8726000
USD000UTSTOM;15;240115;084500;88.16;10595000
USD000UTSTOM;15;240115;090000;87.945;21485000
USD000UTSTOM;15;240115;091500;87.79;21996000
USD000UTSTOM;15;240115;093000;87.87;17160000
USD000UTSTOM;15;240115;094500;87.77;13915000
USD000UTSTOM;15;240115;100000;87.965;51003000
USD000UTSTOM;15;240115;101500;87.925;25170000
USD000UTSTOM;15;240115;103000;87.86;42824000
USD000UTSTOM;15;240115;104500;87.76;44895000
USD000UTSTOM;15;240115;110000;87.765;24178000
USD000UTSTOM;15;240115;111500;87.85;30150000
USD000UTSTOM;15;240115;113000;87.825;33943000
USD000UTSTOM;15;240115;114500;87.8025;41430000
USD000UTSTOM;15;240115;120000;87.78;47865000
USD000UTSTOM;15;240115;121500;87.705;51947000
USD000UTSTOM;15;240115;123000;87.6825;65138000
USD000UTSTOM;15;240115;124500;87.595;41868000
USD000UTSTOM;15;240115;130000;87.605;26635000
USD000UTSTOM;15;240115;131500;87.5125;56557000
USD000UTSTOM;15;240115;133000;87.5475;34821000
USD000UTSTOM;15;240115;134500;87.485;40888000
USD000UTSTOM;15;240115;140000;87.4225;32742000
USD000UTSTOM;15;240115;141500;87.4375;31435000
USD000UTSTOM;15;240115;143000;87.575;45978000
USD000UTSTOM;15;240115;144500;87.5625;34739000
USD000UTSTOM;15;240115;150000;87.59;46805000
USD000UTSTOM;15;240115;151500;87.57;14746000
USD000UTSTOM;15;240115;153000;87.8875;30213000
USD000UTSTOM;15;240115;154500;87.9275;26094000
USD000UTSTOM;15;240115;160000;87.7975;12214000
USD000UTSTOM;15;240115;161500;87.7125;12290000
USD000UTSTOM;15;240115;163000;87.6875;36550000
USD000UTSTOM;15;240115;164500;87.6725;8350000
USD000UTSTOM;15;240115;170000;87.6475;11480000
USD000UTSTOM;15;240115;171500;87.7;10248000
USD000UTSTOM;15;240115;173000;87.79;7729000
USD000UTSTOM;15;240115;174500;87.75;7538000
USD000UTSTOM;15;240115;180000;87.7175;7723000
USD000UTSTOM;15;240115;181500;87.66;2643000
USD000UTSTOM;15;240115;183000;87.6525;7789000
USD000UTSTOM;15;240115;184500;87.6;6590000
USD000UTSTOM;15;240116;070000;87.665;5488000
USD000UTSTOM;15;240116;071500;87.735;1914000
USD000UTSTOM;15;240116;073000;87.815;4702000
USD000UTSTOM;15;240116;074500;87.7475;2148000
USD000UTSTOM;15;240116;080000;87.845;9043000
USD000UTSTOM;15;240116;081500;87.7375;1747000
USD000UTSTOM;15;240116;083000;87.7925;5359000
USD000UTSTOM;15;240116;084500;87.705;5916000
USD000UTSTOM;15;240116;090000;87.7325;9278000
USD000UTSTOM;15;240116;091500;87.7425;3335000
USD000UTSTOM;15;240116;093000;87.655;10780000
USD000UTSTOM;15;240116;094500;87.7;7297000
USD000UTSTOM;15;240116;100000;87.5975;45835000
USD000UTSTOM;15;240116;101500;87.595;34440000
USD000UTSTOM;15;240116;103000;87.59;37087000
USD000UTSTOM;15;240116;104500;87.6;44768000
USD000UTSTOM;15;240116;110000;87.445;53361000
USD000UTSTOM;15;240116;111500;87.4775;58341000
USD000UTSTOM;15;240116;113000;87.5975;30859000
USD000UTSTOM;15;240116;114500;87.72;24181000
USD000UTSTOM;15;240116;120000;87.87;47731000
USD000UTSTOM;15;240116;121500;87.7;28669000
USD000UTSTOM;15;240116;123000;87.7225;30414000
USD000UTSTOM;15;240116;124500;87.6325;14472000
USD000UTSTOM;15;240116;130000;87.5875;12179000
USD000UTSTOM;15;240116;131500;87.65;14564000
USD000UTSTOM;15;240116;133000;87.7325;8802000
USD000UTSTOM;15;240116;134500;87.84;25348000
USD000UTSTOM;15;240116;140000;87.8925;7550000
USD000UTSTOM;15;240116;141500;87.795;17805000
USD000UTSTOM;15;240116;143000;87.78;23638000
USD000UTSTOM;15;240116;144500;87.8875;10999000
USD000UTSTOM;15;240116;150000;87.87;13186000
USD000UTSTOM;15;240116;151500;87.9;27636000
USD000UTSTOM;15;240116;153000;87.8825;20585000
USD000UTSTOM;15;240116;154500;87.8425;14016000
USD000UTSTOM;15;240116;160000;87.8975;15345000
USD000UTSTOM;15;240116;161500;87.815;9226000
USD000UTSTOM;15;240116;163000;87.735;13052000
USD000UTSTOM;15;240116;164500;87.8975;19742000
USD000UTSTOM;15;240116;170000;88.15;221786000
USD000UTSTOM;15;240116;171500;87.9925;34330000
USD000UTSTOM;15;240116;173000;87.8;49102000
USD000UTSTOM;15;240116;174500;87.72;47373000
USD000UTSTOM;15;240116;180000;87.82;34413000
USD000UTSTOM;15;240116;181500;87.8175;11599000
USD000UTSTOM;15;240116;183000;87.7375;3747000
USD000UTSTOM;15;240116;184500;87.8525;2851000
USD000UTSTOM;15;240117;070000;88.04;1002000
USD000UTSTOM;15;240117;071500;88.07;627000
USD000UTSTOM;15;240117;073000;88.11;4477000
USD000UTSTOM;15;240117;074500;88.1075;2056000
USD000UTSTOM;15;240117;080000;88.0675;3452000
USD000UTSTOM;15;240117;081500;88.01;3108000
USD000UTSTOM;15;240117;083000;87.9775;4063000
USD000UTSTOM;15;240117;084500;88.0525;2341000
USD000UTSTOM;15;240117;090000;88.0275;10951000
USD000UTSTOM;15;240117;091500;88.0825;10762000
USD000UTSTOM;15;240117;093000;88.06;8207000
USD000UTSTOM;15;240117;094500;88.005;25163000
USD000UTSTOM;15;240117;100000;88.2275;54456000
USD000UTSTOM;15;240117;101500;88.225;27232000
USD000UTSTOM;15;240117;103000;88.2875;48514000
USD000UTSTOM;15;240117;104500;88.4375;50500000
USD000UTSTOM;15;240117;110000;88.525;50403000
USD000UTSTOM;15;240117;111500;88.445;36010000
USD000UTSTOM;15;240117;113000;88.32;39680000
USD000UTSTOM;15;240117;114500;88.205;47613000
USD000UTSTOM;15;240117;120000;88.1175;49755000
USD000UTSTOM;15;240117;121500;88.26;40400000
USD000UTSTOM;15;240117;123000;88.32;30949000
USD000UTSTOM;15;240117;124500;88.345;17525000
USD000UTSTOM;15;240117;130000;88.33;19551000
USD000UTSTOM;15;240117;131500;88.34;33832000
USD000UTSTOM;15;240117;133000;88.4375;22787000
USD000UTSTOM;15;240117;134500;88.44;17279000
USD000UTSTOM;15;240117;140000;88.6025;38391000
USD000UTSTOM;15;240117;141500;88.42;27524000
USD000UTSTOM;15;240117;143000;88.4775;18703000
USD000UTSTOM;15;240117;144500;88.555;16341000
USD000UTSTOM;15;240117;150000;88.4725;19336000
USD000UTSTOM;15;240117;151500;88.4325;18561000
USD000UTSTOM;15;240117;153000;88.355;43093000
USD000UTSTOM;15;240117;154500;88.4;15357000
USD000UTSTOM;15;240117;160000;88.4225;19156000
USD000UTSTOM;15;240117;161500;88.64;18433000
USD000UTSTOM;15;240117;163000;88.55;18436000
USD000UTSTOM;15;240117;164500;88.525;22042000
USD000UTSTOM;15;240117;170000;88.68;14109000
USD000UTSTOM;15;240117;171500;88.7;14217000
USD000UTSTOM;15;240117;173000;88.74;11475000
USD000UTSTOM;15;240117;174500;88.8425;13296000
USD000UTSTOM;15;240117;180000;88.9375;10482000
USD000UTSTOM;15;240117;181500;88.8375;5206000
