,code,year,hdi,country,epi,population,gdp_per_capita,co2_emission_per_capita,forest_area,ghg_emission
396,CHE,1960,0.49,,,,,,,
397,SYR,1960,0.19,,,,,,,
398,TWN,1960,0.3,,,,,,,
399,TZA,1960,0.1,,,,,,,
400,THA,1960,0.22,,,,,,,
401,TGO,1960,0.09,,,,,,,
402,TTO,1960,0.38,,,,,,,
403,TUN,1960,0.16,,,,,,,
404,TUR,1960,0.2,,,,,,,
405,UGA,1960,0.13,,,,,,,
406,ARE,1960,0.18,,,,,,,
407,GBR,1960,0.5,,,,,,,
408,USA,1960,0.51,,,,,,,
409,URY,1960,0.39,,,,,,,
410,VEN,1960,0.3,,,,,,,
411,VNM,1960,0.15,,,,,,,
412,ZMB,1960,0.15,,,,,,,
413,ZWE,1960,0.17,,,,,,,
414,AFG,1965,0.07,,,,,,,
415,ALB,1965,0.3,,,,,,,
416,DZA,1965,0.17,,,,,,,
417,AGO,1965,0.08,,,,,,,
418,ARG,1965,0.39,,,,,,,
419,AUS,1965,0.52,,,,,,,
420,AUT,1965,0.48,,,,,,,
421,BHS,1965,0.41,,,,,,,
422,BHR,1965,0.29,,,,,,,
423,BGD,1965,0.12,,,,,,,
424,BRB,1965,0.44,,,,,,,
425,BEL,1965,0.49,,,,,,,
426,BLZ,1965,0.29,,,,,,,
427,BEN,1965,0.1,,,,,,,
428,BOL,1965,0.19,,,,,,,
429,BWA,1965,0.15,,,,,,,
430,BRA,1965,0.25,,,,,,,
431,BGR,1965,0.42,,,,,,,
432,BFA,1965,0.07,,,,,,,
433,BDI,1965,0.09,,,,,,,
434,KHM,1965,0.16,,,,,,,
435,CMR,1965,0.11,,,,,,,
436,CAN,1965,0.58,,,,,,,
437,CPV,1965,0.16,,,,,,,
438,CAF,1965,0.11,,,,,,,
439,TCD,1965,0.08,,,,,,,
440,CHL,1965,0.35,,,,,,,
441,CHN,1965,0.23,,,,,,,
442,COL,1965,0.27,,,,,,,
443,COG,1965,0.15,,,,,,,
444,CRI,1965,0.35,,,,,,,
445,CIV,1965,0.12,,,,,,,
446,CUB,1965,0.36,,,,,,,
447,CYP,1965,0.37,,,,,,,
448,CZE,1965,0.48,,,,,,,
449,COD,1965,0.13,,,,,,,
450,DNK,1965,0.5,,,,,,,
451,DJI,1965,0.11,,,,,,,
452,DOM,1965,0.24,,,,,,,
453,ECU,1965,0.26,,,,,,,
454,EGY,1965,0.17,,,,,,,
455,SLV,1965,0.23,,,,,,,
456,GNQ,1965,0.16,,,,,,,
457,ERI,1965,0.09,,,,,,,
458,SWZ,1965,0.17,,,,,,,
459,ETH,1965,0.06,,,,,,,
460,FIN,1965,0.47,,,,,,,
461,FRA,1965,0.5,,,,,,,
462,GAB,1965,0.18,,,,,,,
463,GMB,1965,0.08,,,,,,,
464,DEU,1965,0.49,,,,,,,
465,GHA,1965,0.17,,,,,,,
466,GRC,1965,0.39,,,,,,,
467,GTM,1965,0.19,,,,,,,
468,GIN,1965,0.08,,,,,,,
469,GNB,1965,0.09,,,,,,,
470,GUY,1965,0.33,,,,,,,
471,HTI,1965,0.13,,,,,,,
472,HND,1965,0.2,,,,,,,
473,HKG,1965,0.35,,,,,,,
474,HUN,1965,0.46,,,,,,,
475,IND,1965,0.16,,,,,,,
476,IDN,1965,0.17,,,,,,,
477,IRN,1965,0.18,,,,,,,
478,IRQ,1965,0.19,,,,,,,
479,IRL,1965,0.48,,,,,,,
480,ISR,1965,0.45,,,,,,,
481,ITA,1965,0.41,,,,,,,
482,JAM,1965,0.36,,,,,,,
483,JPN,1965,0.49,,,,,,,
484,JOR,1965,0.22,,,,,,,
485,KEN,1965,0.15,,,,,,,
486,KWT,1965,0.33,,,,,,,
487,LAO,1965,0.11,,,,,,,
488,LBN,1965,0.3,,,,,,,
489,LSO,1965,0.18,,,,,,,
490,LBR,1965,0.12,,,,,,,
491,LBY,1965,0.2,,,,,,,
492,MDG,1965,0.16,,,,,,,
493,MWI,1965,0.11,,,,,,,
494,MYS,1965,0.24,,,,,,,
495,MLI,1965,0.07,,,,,,,
496,MRT,1965,0.09,,,,,,,
497,MUS,1965,0.3,,,,,,,
498,MEX,1965,0.29,,,,,,,
499,MAR,1965,0.15,,,,,,,
500,MOZ,1965,0.1,,,,,,,
501,MMR,1965,0.17,,,,,,,
502,NAM,1965,0.19,,,,,,,
503,NPL,1965,0.09,,,,,,,
504,NLD,1965,0.51,,,,,,,
505,NZL,1965,0.55,,,,,,,
506,NIC,1965,0.22,,,,,,,
507,NER,1965,0.06,,,,,,,
508,NGA,1965,0.11,,,,,,,
509,NOR,1965,0.51,,,,,,,
510,OMN,1965,0.12,,,,,,,
511,PAK,1965,0.13,,,,,,,
512,PAN,1965,0.32,,,,,,,
513,PRY,1965,0.3,,,,,,,
514,PER,1965,0.26,,,,,,,
515,PHL,1965,0.29,,,,,,,
516,POL,1965,0.44,,,,,,,
517,PRT,1965,0.31,,,,,,,
518,PRI,1965,0.43,,,,,,,
519,QAT,1965,0.29,,,,,,,
520,ROU,1965,0.4,,,,,,,
521,RUS,1965,0.47,,,,,,,
522,RWA,1965,0.12,,,,,,,
523,SAU,1965,0.12,,,,,,,
524,SEN,1965,0.11,,,,,,,
525,SRB,1965,0.37,,,,,,,
526,SLE,1965,0.08,,,,,,,
527,SGP,1965,0.36,,,,,,,
528,ZAF,1965,0.26,,,,,,,
529,KOR,1965,0.28,,,,,,,
530,ESP,1965,0.41,,,,,,,
531,LKA,1965,0.3,,,,,,,
532,SDN,1965,0.11,,,,,,,
533,SWE,1965,0.51,,,,,,,
534,CHE,1965,0.5,,,,,,,
535,SYR,1965,0.22,,,,,,,
536,TWN,1965,0.35,,,,,,,
537,TZA,1965,0.12,,,,,,,
538,THA,1965,0.24,,,,,,,
539,TGO,1965,0.12,,,,,,,
540,TTO,1965,0.41,,,,,,,
541,TUN,1965,0.19,,,,,,,
542,TUR,1965,0.23,,,,,,,
543,UGA,1965,0.14,,,,,,,
544,ARE,1965,0.25,,,,,,,
545,GBR,1965,0.5,,,,,,,
546,USA,1965,0.55,,,,,,,
547,URY,1965,0.4,,,,,,,
548,VEN,1965,0.33,,,,,,,
549,VNM,1965,0.17,,,,,,,
550,ZMB,1965,0.17,,,,,,,
551,ZWE,1965,0.18,,,,,,,
552,AFG,1970,0.09,,,,,,,
553,ALB,1970,0.34,,,,,,,
554,DZA,1970,0.19,,,,,,,
555,AGO,1970,0.1,,,,,,,
556,ARG,1970,0.42,,,,,,,
557,AUS,1970,0.54,,,,,,,
558,AUT,1970,0.52,,,,,,,
559,BHS,1970,0.43,,,,,,,
560,BHR,1970,0.3,,,,,,,
561,BGD,1970,0.13,,,,,,,
562,BRB,1970,0.47,,,,,,,
563,BEL,1970,0.55,,,,,,,
564,BLZ,1970,0.3,,,,,,,
565,BEN,1970,0.11,,,,,,,
566,BOL,1970,0.21,,,,,,,
567,BWA,1970,0.17,,,,,,,
568,BRA,1970,0.27,,,,,,,
569,BGR,1970,0.45,,,,,,,
570,BFA,1970,0.08,,,,,,,
571,BDI,1970,0.11,,,,,,,
572,KHM,1970,0.13,,,,,,,
573,CMR,1970,0.16,,,,,,,
574,CAN,1970,0.59,,,,,,,
575,CPV,1970,0.19,,,,,,,
576,CAF,1970,0.12,,,,,,,
577,TCD,1970,0.08,,,,,,,
578,CHL,1970,0.38,,,,,,,
579,CHN,1970,0.25,,,,,,,
580,COL,1970,0.31,,,,,,,
581,COG,1970,0.19,,,,,,,
582,CRI,1970,0.38,,,,,,,
583,CIV,1970,0.15,,,,,,,
584,CUB,1970,0.39,,,,,,,
585,CYP,1970,0.38,,,,,,,
586,CZE,1970,0.49,,,,,,,
587,COD,1970,0.15,,,,,,,
588,DNK,1970,0.55,,,,,,,
589,DJI,1970,0.12,,,,,,,
590,DOM,1970,0.27,,,,,,,
591,ECU,1970,0.29,,,,,,,
592,EGY,1970,0.18,,,,,,,
593,SLV,1970,0.26,,,,,,,
594,GNQ,1970,0.18,,,,,,,
595,ERI,1970,0.11,,,,,,,
596,SWZ,1970,0.2,,,,,,,
597,ETH,1970,0.08,,,,,,,
598,FIN,1970,0.51,,,,,,,
599,FRA,1970,0.53,,,,,,,
600,GAB,1970,0.21,,,,,,,
601,GMB,1970,0.09,,,,,,,
602,DEU,1970,0.52,,,,,,,
603,GHA,1970,0.18,,,,,,,
604,GRC,1970,0.44,,,,,,,
605,GTM,1970,0.2,,,,,,,
606,GIN,1970,0.09,,,,,,,
607,GNB,1970,0.1,,,,,,,
608,GUY,1970,0.33,,,,,,,
609,HTI,1970,0.14,,,,,,,
610,HND,1970,0.22,,,,,,,
611,HKG,1970,0.37,,,,,,,
612,HUN,1970,0.45,,,,,,,
613,IND,1970,0.17,,,,,,,
614,IDN,1970,0.2,,,,,,,
615,IRN,1970,0.22,,,,,,,
616,IRQ,1970,0.21,,,,,,,
617,IRL,1970,0.49,,,,,,,
618,ISR,1970,0.45,,,,,,,
619,ITA,1970,0.48,,,,,,,
620,JAM,1970,0.38,,,,,,,
621,JPN,1970,0.52,,,,,,,
622,JOR,1970,0.27,,,,,,,
623,KEN,1970,0.17,,,,,,,
624,KWT,1970,0.37,,,,,,,
625,LAO,1970,0.13,,,,,,,
626,LBN,1970,0.33,,,,,,,
627,LSO,1970,0.19,,,,,,,
628,LBR,1970,0.14,,,,,,,
629,LBY,1970,0.25,,,,,,,
630,MDG,1970,0.17,,,,,,,
631,MWI,1970,0.12,,,,,,,
632,MYS,1970,0.27,,,,,,,
633,MLI,1970,0.08,,,,,,,
634,MRT,1970,0.11,,,,,,,
635,MUS,1970,0.3,,,,,,,
636,MEX,1970,0.32,,,,,,,
637,MAR,1970,0.16,,,,,,,
638,MOZ,1970,0.12,,,,,,,
639,MMR,1970,0.19,,,,,,,
640,NAM,1970,0.22,,,,,,,
641,NPL,1970,0.1,,,,,,,
642,NLD,1970,0.54,,,,,,,
643,NZL,1970,0.54,,,,,,,
644,NIC,1970,0.23,,,,,,,
645,NER,1970,0.07,,,,,,,
646,NGA,1970,0.12,,,,,,,
647,NOR,1970,0.55,,,,,,,
648,OMN,1970,0.15,,,,,,,
649,PAK,1970,0.15,,,,,,,
650,PAN,1970,0.35,,,,,,,
651,PRY,1970,0.31,,,,,,,
652,PER,1970,0.29,,,,,,,
653,PHL,1970,0.31,,,,,,,
654,POL,1970,0.46,,,,,,,
655,PRT,1970,0.37,,,,,,,
656,PRI,1970,0.48,,,,,,,
657,QAT,1970,0.34,,,,,,,
658,ROU,1970,0.4,,,,,,,
659,RUS,1970,0.5,,,,,,,
660,RWA,1970,0.14,,,,,,,
661,SAU,1970,0.2,,,,,,,
