<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZA;30;231116;110000;878.0000000;902.0000000;878.0000000;893.5000000;370
GAZA;30;231116;113000;901.0000000;901.0000000;898.0000000;898.0000000;60
GAZA;30;231116;120000;895.0000000;895.0000000;885.0000000;885.0000000;60
GAZA;30;231116;123000;892.5000000;899.0000000;881.5000000;881.5000000;210
GAZA;30;231116;130000;883.5000000;915.0000000;883.5000000;904.5000000;960
GAZA;30;231116;133000;905.0000000;905.0000000;905.0000000;905.0000000;50
GAZA;30;231116;140000;911.0000000;911.0000000;905.0000000;905.0000000;370
GAZA;30;231116;143000;910.5000000;910.5000000;905.5000000;907.5000000;30
GAZA;30;231116;150000;907.0000000;908.5000000;904.0000000;904.0000000;220
GAZA;30;231116;153000;904.0000000;904.0000000;904.0000000;904.0000000;40
GAZA;30;231116;160000;905.0000000;905.0000000;900.5000000;900.5000000;30
GAZA;30;231116;163000;900.5000000;907.5000000;900.0000000;907.5000000;100
GAZA;30;231116;170000;908.5000000;908.5000000;908.5000000;908.5000000;30
GAZA;30;231116;173000;910.0000000;910.0000000;901.0000000;901.0000000;30
GAZA;30;231116;180000;901.0000000;901.0000000;892.0000000;896.0000000;230
GAZA;30;231116;183000;895.5000000;895.5000000;895.5000000;895.5000000;20
GAZA;30;231117;100000;896.5000000;918.0000000;896.5000000;909.0000000;600
GAZA;30;231117;103000;900.0000000;903.5000000;895.0000000;895.0000000;50
GAZA;30;231117;110000;896.0000000;920.0000000;892.0000000;920.0000000;370
GAZA;30;231117;113000;902.0000000;915.5000000;896.5000000;903.0000000;240
GAZA;30;231117;120000;903.0000000;911.5000000;902.5000000;911.5000000;40
GAZA;30;231117;123000;910.5000000;910.5000000;906.5000000;908.0000000;60
GAZA;30;231117;133000;907.5000000;907.5000000;877.5000000;877.5000000;460
GAZA;30;231117;140000;885.5000000;885.5000000;885.5000000;885.5000000;10
GAZA;30;231117;143000;884.5000000;895.0000000;883.5000000;895.0000000;170
GAZA;30;231117;150000;890.0000000;899.5000000;890.0000000;899.5000000;70
GAZA;30;231117;153000;899.0000000;905.0000000;895.5000000;905.0000000;120
GAZA;30;231117;160000;909.0000000;909.0000000;909.0000000;909.0000000;20
GAZA;30;231117;170000;901.0000000;901.0000000;901.0000000;901.0000000;10
GAZA;30;231117;173000;900.0000000;905.0000000;900.0000000;905.0000000;20
GAZA;30;231117;180000;909.0000000;909.0000000;908.5000000;908.5000000;40
GAZA;30;231120;100000;910.0000000;946.0000000;910.0000000;943.0000000;1130
GAZA;30;231120;103000;943.0000000;948.0000000;932.5000000;938.0000000;1000
GAZA;30;231120;110000;938.0000000;938.0000000;910.5000000;915.0000000;300
GAZA;30;231120;113000;920.0000000;920.0000000;919.5000000;919.5000000;30
GAZA;30;231120;120000;928.0000000;930.5000000;925.5000000;925.5000000;90
GAZA;30;231120;123000;920.5000000;920.5000000;908.0000000;911.0000000;230
GAZA;30;231120;130000;911.5000000;911.5000000;911.5000000;911.5000000;10
GAZA;30;231120;133000;911.0000000;917.5000000;910.5000000;917.5000000;30
GAZA;30;231120;140000;916.5000000;930.0000000;909.0000000;927.0000000;530
GAZA;30;231120;143000;929.5000000;945.0000000;910.0000000;910.0000000;1210
GAZA;30;231120;150000;916.0000000;916.0000000;910.5000000;910.5000000;20
GAZA;30;231120;153000;910.0000000;924.0000000;910.0000000;924.0000000;60
GAZA;30;231120;160000;913.0000000;913.0000000;909.0000000;910.0000000;250
GAZA;30;231120;163000;910.0000000;916.0000000;910.0000000;913.5000000;90
GAZA;30;231120;170000;911.0000000;912.0000000;910.0000000;912.0000000;100
GAZA;30;231120;173000;912.0000000;912.0000000;910.0000000;910.0000000;60
GAZA;30;231120;180000;910.0000000;912.5000000;910.0000000;912.5000000;20
GAZA;30;231120;183000;924.5000000;924.5000000;919.0000000;919.0000000;20
GAZA;30;231121;100000;925.5000000;925.5000000;914.5000000;923.5000000;180
GAZA;30;231121;103000;916.5000000;919.0000000;910.0000000;919.0000000;220
GAZA;30;231121;110000;917.0000000;917.0000000;911.5000000;911.5000000;20
GAZA;30;231121;113000;911.5000000;911.5000000;910.0000000;910.0000000;150
GAZA;30;231121;120000;910.0000000;910.0000000;910.0000000;910.0000000;60
GAZA;30;231121;123000;910.0000000;912.5000000;910.0000000;912.5000000;50
GAZA;30;231121;133000;910.0000000;910.0000000;909.0000000;909.0000000;110
GAZA;30;231121;140000;909.0000000;909.5000000;909.0000000;909.0000000;40
GAZA;30;231121;143000;914.5000000;918.0000000;914.5000000;918.0000000;130
GAZA;30;231121;153000;910.5000000;916.0000000;910.5000000;916.0000000;40
GAZA;30;231121;163000;914.0000000;916.0000000;909.0000000;916.0000000;240
GAZA;30;231121;170000;916.5000000;917.0000000;909.5000000;909.5000000;70
GAZA;30;231121;173000;912.5000000;916.5000000;910.5000000;916.5000000;50
GAZA;30;231121;180000;916.5000000;916.5000000;911.5000000;916.5000000;40
GAZA;30;231121;183000;911.5000000;923.5000000;911.5000000;923.5000000;170
GAZA;30;231122;100000;917.5000000;938.0000000;917.5000000;928.5000000;360
GAZA;30;231122;103000;928.5000000;933.5000000;924.5000000;933.5000000;60
GAZA;30;231122;110000;932.0000000;932.0000000;924.5000000;924.5000000;160
GAZA;30;231122;113000;928.5000000;928.5000000;925.5000000;925.5000000;30
GAZA;30;231122;120000;925.5000000;925.5000000;925.5000000;925.5000000;10
GAZA;30;231122;123000;925.0000000;925.0000000;925.0000000;925.0000000;20
GAZA;30;231122;130000;924.5000000;924.5000000;924.5000000;924.5000000;10
GAZA;30;231122;133000;928.0000000;931.0000000;924.5000000;930.5000000;110
GAZA;30;231122;140000;925.0000000;925.0000000;925.0000000;925.0000000;40
GAZA;30;231122;153000;929.0000000;929.5000000;929.0000000;929.0000000;40
GAZA;30;231122;160000;929.0000000;929.0000000;928.5000000;928.5000000;30
GAZA;30;231122;163000;925.5000000;925.5000000;925.0000000;925.0000000;30
GAZA;30;231122;170000;925.0000000;925.0000000;923.0000000;924.5000000;250
GAZA;30;231122;183000;919.5000000;919.5000000;919.5000000;919.5000000;10
GAZA;30;231123;100000;919.5000000;919.5000000;910.0000000;910.0000000;120
GAZA;30;231123;103000;914.0000000;915.0000000;906.0000000;906.0000000;100
GAZA;30;231123;110000;905.5000000;905.5000000;901.0000000;902.5000000;130
GAZA;30;231123;113000;903.0000000;903.5000000;901.5000000;903.5000000;50
GAZA;30;231123;120000;903.0000000;903.0000000;903.0000000;903.0000000;30
GAZA;30;231123;123000;903.5000000;903.5000000;903.5000000;903.5000000;40
GAZA;30;231123;130000;901.5000000;901.5000000;895.0000000;895.0000000;590
GAZA;30;231123;133000;896.5000000;896.5000000;891.0000000;891.0000000;30
GAZA;30;231123;140000;891.0000000;891.0000000;888.0000000;888.0000000;70
GAZA;30;231123;143000;890.5000000;890.5000000;890.5000000;890.5000000;10
GAZA;30;231123;150000;890.0000000;890.0000000;888.5000000;889.5000000;60
GAZA;30;231123;160000;889.5000000;889.5000000;889.5000000;889.5000000;10
GAZA;30;231123;163000;889.5000000;889.5000000;889.5000000;889.5000000;30
GAZA;30;231123;170000;890.0000000;891.0000000;890.0000000;891.0000000;40
GAZA;30;231123;173000;891.0000000;891.0000000;891.0000000;891.0000000;10
GAZA;30;231123;180000;891.0000000;891.0000000;891.0000000;891.0000000;90
GAZA;30;231124;100000;891.5000000;891.5000000;888.0000000;888.5000000;110
GAZA;30;231124;103000;888.5000000;888.5000000;888.0000000;888.0000000;180
GAZA;30;231124;110000;888.0000000;888.0000000;881.0000000;881.0000000;170
GAZA;30;231124;120000;882.0000000;882.0000000;882.0000000;882.0000000;10
GAZA;30;231124;130000;885.5000000;885.5000000;882.5000000;882.5000000;30
GAZA;30;231124;133000;882.5000000;888.0000000;882.0000000;882.5000000;40
GAZA;30;231124;140000;887.0000000;887.0000000;885.5000000;885.5000000;20
GAZA;30;231124;143000;882.0000000;883.0000000;882.0000000;883.0000000;30
GAZA;30;231124;150000;883.5000000;883.5000000;877.0000000;878.5000000;230
GAZA;30;231124;153000;877.0000000;879.5000000;863.0000000;863.0000000;230
GAZA;30;231124;160000;863.5000000;869.5000000;863.5000000;864.0000000;50
GAZA;30;231124;163000;865.0000000;865.5000000;860.0000000;865.5000000;110
GAZA;30;231124;170000;863.0000000;865.0000000;860.5000000;860.5000000;50
GAZA;30;231124;173000;860.5000000;860.5000000;860.5000000;860.5000000;10
GAZA;30;231124;180000;860.5000000;885.0000000;860.5000000;873.0000000;360
GAZA;30;231124;183000;873.0000000;873.5000000;873.0000000;873.5000000;20
GAZA;30;231127;100000;884.5000000;890.5000000;842.0000000;842.5000000;560
GAZA;30;231127;103000;842.5000000;856.0000000;842.5000000;856.0000000;110
GAZA;30;231127;110000;856.0000000;867.5000000;856.0000000;867.5000000;40
GAZA;30;231127;120000;858.5000000;858.5000000;856.0000000;856.0000000;60
GAZA;30;231127;123000;856.0000000;856.0000000;845.5000000;846.5000000;80
